run_id,seed,scenario,final_mean_stress,final_max_stress,final_mean_usage,burnout_count_day_30,peak_burnout_count,peak_burnout_count_1_30,peak_stress,total_stress_auc
0,100,Baseline,39.14736329323068,86.15606809651806,295.7187066262301,1,19,2,100.0,115995.98547807323
0,100,Intervention,36.325788549506,86.12847959872389,281.62492805135093,1,19,1,100.0,110398.54295679418
1,101,Baseline,37.66892249902369,84.8489109523289,284.91957407379334,1,19,2,100.0,112850.4870412236
1,101,Intervention,35.35077933441989,84.823200095982,273.33599907826016,1,19,1,100.0,107748.62525040944
2,102,Baseline,36.812637620418535,85.0485347472403,279.06530668727356,1,19,1,100.0,109954.23151312213
2,102,Intervention,34.47881020013923,85.02161962936297,267.1261513441172,1,19,1,100.0,105770.30223950492
3,103,Baseline,38.087325316960985,84.8512007575419,287.36466134533634,1,19,2,100.0,115244.5069826719
3,103,Intervention,35.2779524971256,84.82665752924724,273.23001746350974,1,19,1,100.0,110146.91315418898
4,104,Baseline,36.39636967181672,84.86918472344001,277.2272257213463,1,19,1,100.0,110073.75809062138
4,104,Intervention,34.13087620303742,84.84244006540875,265.6471901225763,1,19,1,100.0,106003.66409879837
5,105,Baseline,38.95421075391492,85.59455068114384,295.54339376475457,1,19,1,100.0,114303.97586432532
5,105,Intervention,36.77970713608906,85.5668296661254,285.5285049669005,1,19,1,100.0,109798.14860948276
6,106,Baseline,37.86232711800241,85.61177963501146,284.7139627347904,1,19,1,100.0,113406.70657308656
6,106,Intervention,35.09425360015525,85.58433035579735,270.800453625964,1,19,1,100.0,108363.30244321737
7,107,Baseline,37.965201847373116,85.16390362040889,288.2797376493402,1,19,2,100.0,114055.66307394602
7,107,Intervention,35.34597374587573,85.13626391419275,275.0411394245768,1,19,1,100.0,109004.42961682513
8,108,Baseline,38.52516134291451,85.71089793771512,293.51639006210706,1,19,1,100.0,114241.79481559106
8,108,Intervention,36.11721547152601,85.68338058916487,281.6622159819311,1,19,1,100.0,109338.72597572787
9,109,Baseline,38.389295728329564,85.00688968858586,291.104530736102,1,19,1,100.0,113186.8931938462
9,109,Intervention,35.50077241085583,84.98033942481568,276.60807556696585,1,19,1,100.0,107678.8879274865
10,110,Baseline,36.605614073409384,83.53694783919093,275.8252663556421,1,19,2,100.0,109493.19886454394
10,110,Intervention,33.67327057904222,83.51155646945487,260.97126969935545,1,19,2,100.0,104154.86194179796
11,111,Baseline,38.58876045465652,85.18008079550029,292.9136774150319,1,19,1,100.0,115144.5187312061
11,111,Intervention,36.038820981384625,85.15227680424854,280.3059033562142,1,19,1,100.0,109946.20883304761
12,112,Baseline,37.203609010563916,85.27885696447946,281.85400291927954,1,19,1,100.0,112671.56822909768
12,112,Intervention,34.72187850667733,85.25167827498461,269.6989323645876,1,19,1,100.0,108131.99707884008
13,113,Baseline,38.65350663958375,81.54948141971785,293.53471378286355,1,19,1,100.0,114790.10933227041
13,113,Intervention,36.239399037352726,81.52136505362202,281.45746889462833,1,19,1,100.0,110516.68012173462
14,114,Baseline,39.609152476975936,86.72823459215218,299.3662562881084,1,19,2,100.0,116881.54409077375
14,114,Intervention,37.33089355734992,86.70071580031603,288.2269758669508,1,19,1,100.0,112169.80934702278
15,115,Baseline,37.04950625712451,84.99730798602654,281.4411495059017,1,19,1,100.0,111073.78624561595
15,115,Intervention,34.60579614869395,84.97150108939408,269.43625130790974,1,19,1,100.0,106527.93595851597
16,116,Baseline,37.971060118503345,83.44321484129154,286.95230837991863,1,19,1,100.0,112072.80504832938
16,116,Intervention,35.24968075506753,83.4155089417236,273.4017899453884,1,19,1,100.0,107343.18876935064
17,117,Baseline,38.704204754588865,85.92769052275445,290.131816414022,1,19,2,100.0,115109.4066110831
17,117,Intervention,35.6067266157148,85.90362186179975,274.6634225869708,1,19,1,100.0,109534.45956469764
18,118,Baseline,39.60306613359951,86.10831889326528,300.706712940211,1,19,1,100.0,117511.75308739975
18,118,Intervention,37.18706728057175,86.08035340592222,288.6158388406725,1,19,1,100.0,112829.45921661379
19,119,Baseline,38.55605943679139,85.57153634857914,292.98535381673696,1,19,1,100.0,113501.46212795906
19,119,Intervention,36.4746787571128,85.54506433913087,283.029772783856,1,19,1,100.0,109329.06439058016
20,120,Baseline,38.33734975268278,85.93962590886298,291.72666257320714,1,19,1,100.0,112425.05719336541
20,120,Intervention,35.920889720571616,85.91271647264546,280.0495695885211,1,19,1,100.0,108280.32814121881
21,121,Baseline,38.85036479380082,85.35817409682934,294.6448481691514,1,19,1,100.0,113246.37112471898
21,121,Intervention,35.96666545643139,85.33159560076149,280.2957540861837,1,19,1,100.0,108167.76755891948
22,122,Baseline,38.825748015412465,82.69928109424885,292.51760101842905,1,19,1,100.0,114285.42096304077
22,122,Intervention,35.765428270587556,82.67167526757747,277.527341283679,1,19,1,100.0,109426.47211690024
23,123,Baseline,37.938761272611366,85.32240141228384,286.92945259690043,1,19,1,100.0,113295.81742660895
23,123,Intervention,35.39041137904034,85.29642494280282,274.04404299697785,1,19,1,100.0,108420.91743564451
24,124,Baseline,38.52069436739168,85.32307230457891,291.4879192575837,1,19,2,100.0,115147.9932022696
24,124,Intervention,35.5548145880774,85.29750465574634,276.66550870495763,1,19,1,100.0,110222.46946746975
25,125,Baseline,37.40089085491463,75.74852435170651,284.2069207914054,0,19,1,100.0,111470.20130656917
25,125,Intervention,35.15023620566278,75.46171876764951,272.81740407991447,0,19,1,100.0,107322.63620199155
26,126,Baseline,37.761180641650206,85.43826115810859,285.4995347331528,1,19,2,100.0,114050.97277164002
26,126,Intervention,35.32553574862078,85.41056753249552,274.0962768496579,1,19,1,100.0,108288.06239519977
27,127,Baseline,38.07115276358681,86.28890231728492,288.3097514533126,1,19,1,100.0,114010.18848336136
27,127,Intervention,35.58223032781379,86.26188242850004,275.6069863334213,1,19,1,100.0,109424.53603737963
28,128,Baseline,36.75220268744038,85.248416256202,280.0883115333325,1,19,1,100.0,110963.96927193593
28,128,Intervention,34.70660178610513,85.2209767162096,270.3264984612268,1,19,1,100.0,106747.3208819974
29,129,Baseline,37.834306704950784,85.81195403968484,286.1277270583386,1,19,1,100.0,114289.37685268237
29,129,Intervention,35.46142376872825,85.78585543717534,274.08669643036455,1,19,1,100.0,109817.08254487444
